2026-01-09 00:01:52.100281 | Samples: 40 | Loss: 0.1471 | LR: 4.51e-05
2026-01-09 00:02:46.908113 | Samples: 40 | Loss: 0.1309 | LR: 4.51e-05
2026-01-09 00:03:32.459507 | Samples: 40 | Loss: 0.1466 | LR: 4.50e-05
2026-01-09 00:04:28.362723 | Samples: 40 | Loss: 0.1334 | LR: 4.50e-05
2026-01-09 00:05:23.402999 | Samples: 40 | Loss: 0.1681 | LR: 4.50e-05
2026-01-09 00:06:15.716637 | Samples: 40 | Loss: 0.1343 | LR: 4.49e-05
2026-01-09 00:07:12.990589 | Samples: 40 | Loss: 0.1397 | LR: 4.49e-05
2026-01-09 00:08:00.086202 | Samples: 40 | Loss: 0.1398 | LR: 4.48e-05
2026-01-09 00:08:56.109614 | Samples: 40 | Loss: 0.1667 | LR: 4.48e-05
2026-01-09 00:09:54.193698 | Samples: 40 | Loss: 0.1758 | LR: 4.47e-05
2026-01-09 00:10:53.056521 | Samples: 40 | Loss: 0.1318 | LR: 4.47e-05
2026-01-09 00:11:43.205357 | Samples: 40 | Loss: 0.1383 | LR: 4.46e-05
2026-01-09 00:12:40.578860 | Samples: 40 | Loss: 0.1409 | LR: 4.46e-05
2026-01-09 00:13:30.175695 | Samples: 40 | Loss: 0.1443 | LR: 4.45e-05
2026-01-09 00:14:20.043421 | Samples: 40 | Loss: 0.1264 | LR: 4.45e-05
2026-01-09 00:15:09.129062 | Samples: 40 | Loss: 0.1591 | LR: 4.44e-05
2026-01-09 00:16:05.373326 | Samples: 40 | Loss: 0.1659 | LR: 4.44e-05
2026-01-09 00:16:54.565153 | Samples: 40 | Loss: 0.1419 | LR: 4.43e-05
2026-01-09 00:17:41.451158 | Samples: 40 | Loss: 0.0761 | LR: 4.43e-05
2026-01-09 00:18:28.303630 | Samples: 40 | Loss: 0.1412 | LR: 4.42e-05
2026-01-09 00:19:51.122574 | Samples: 40 | Loss: 0.1272 | LR: 4.42e-05
2026-01-09 00:20:43.544316 | Samples: 40 | Loss: 0.1533 | LR: 4.41e-05
2026-01-09 00:21:31.779745 | Samples: 40 | Loss: 0.0810 | LR: 4.41e-05
2026-01-09 00:22:28.302939 | Samples: 40 | Loss: 0.1630 | LR: 4.40e-05
2026-01-09 00:23:13.737710 | Samples: 40 | Loss: 0.0942 | LR: 4.40e-05
2026-01-09 00:24:04.585735 | Samples: 40 | Loss: 0.1243 | LR: 4.39e-05
2026-01-09 00:24:54.809304 | Samples: 40 | Loss: 0.1121 | LR: 4.39e-05
2026-01-09 00:25:54.847054 | Samples: 40 | Loss: 0.1335 | LR: 4.38e-05
2026-01-09 00:26:44.932321 | Samples: 40 | Loss: 0.1148 | LR: 4.38e-05
2026-01-09 00:27:42.175974 | Samples: 40 | Loss: 0.1153 | LR: 4.37e-05
